AL032669	2L52
U41264	F10E7
L10986	F10E9
Z35598	F10F2
U64836	F10G2
U40029	F10G7
Z80216	F10G8
Z35662	F10G11
Z50857	F11A1
Z70751	F11A3
Z92830	F11A5
Z81498	F11A6
Z68297	F11A10
Z54270	F11C1
Z81499	F11C3
U42839	F11C7
U41532	F11D5
Z81500	F11D11
Z81058	F11E6
Z81059	F11F1
U80451	F11G11
U40187	F11H8
U28731	F12A10
AF003138	F12B6
U39741	F12D9
AC006629	F12E12
U80022	F12F3
Z73425	F12F6
AF022970	F13A2
Z93377	F13A7
AF038612	F13B6
U39853	F13B9
Z49936	F13B10
Z70683	F13B12
AF077531	F13C5
Z50739	F13D2
U40939	F13D11
Z49127	F13D12
Z68105	F13E6
Z69383	F13E9
Z71259	F13G3
Z83317	F13G11
AF016437	F13H6
U23139	F13H8
Z68748	F13H10
Z75951	F14A5
Z75535	F14B4
Z81502	F14B6
U28737	F14B8
Z92967	F14D1
AF040643	F14D2
Z77658	F14D7
U41021	F14D12
Z66522	F14E5
Z81060	F14E12
Z49937	F14F3
AL021446	F14F4
Z81503	F14F7
Z92782	F14F8
AF024492	F14F9
Z54307	F14F11
Z83105	F14H3
Z81061	F14H8
AC006630	F14H12
Z70207	F15A2
Z81062	F15A4
U97549	F15A8
Z78013	F15B9
AF036696	F15B10
Z71260	F15C11
Z81063	F15D3
Z80344	F15D4
AF038614	F15E6
AF039045	F15E11
Z47068	F15G9
U88313	F15G10
Z81504	F15H9
Z73972	F15H10
Z81505	F16A11
AF036695	F16B3
AF039048	F16B4
Z81064	F16B12
Z81065	F16C3
Z78062	F16D3
U67956	F16F9
AF077537	F16G10
Z81506	F16H6
Z50005	F16H9
U55376	F16H11
Z68114	F17A2
AF016417	F17A9
Z81066	F17B5
Z35719	F17C8
Z72507	F17C11
Z50873	F17E5
AF047656	F17E9
Z69789	F17H10
U41535	F18A1
Z81507	F18A11
AF016688	F18A12
U29097	F18C5
Z75536	F18C12
Z75537	F18E2
U53139	F18E3
U29614	F18E9
U88176	F18F11
U39855	F18G5
Z50110	F18H3
AL021447	F19B2
Z69635	F19B6
AF000261	F19B10
Z48006	F19C6
U42439	F19C7
Z78541	F19D8
U97005	F19F10
U51997	F19G12
Z68115	F19H6
Z93378	F19H8
U53150	F20A1
U58735	F20B4
U41015	F20B6
Z69636	F20B10
Z68161	F20C5
Z78542	F20D1
U50301	F20D6
U40933	F20D12
Z81508	F20E11
Z79753	F20G2
Z75538	F20G4
AF002197	F20H11
Z81509	F21A3
U97401	F21A9
AL021567	F21A10
Z71261	F21C3
U55364	F21C10
Z54271	F21D5
Z81510	F21D9
U23518	F21D12
U64850	F21E3
AF016663	F21E9
U88175	F21F3
U97000	F21F8
Z81511	F21F12
Z81016	F21G4
Z93379	F21H7
U11279	F21H11
U23176	F21H12
U41547	F22A3
Z68336	F22B3
Z50044	F22B5
L12018	F22B7
Z83106	F22B8
U28993	F22D3
Z71262	F22D6
AF016681	F22E5
Z67882	F22E10
Z71180	F22E12
U41549	F22F1
U53343	F22F4
AF067937	F22F7
Z92831	F22G12
U70845	F22H10
Z81067	F23A7
Z82266	F23B2
Z77659	F23B12
AF106583	F23C8
Z68133	F23C11
Z71186	F23D12
AF024493	F23F1
U12965	F23F12
U46676	F23G4
AF003389	F23H11
Z74472	F23H12
AF016412	F25A2
Z70752	F25B3
U64842	F25B4
U23172	F25B5
Z81512	F25C8
